,Delta,L,l_a,dx,dy,alpha,beta,gamma,phi_f,H_b,f_H,N_aqt,f_aqt,l_conf,N_pal,s_pal,l_tra,t_tra,N_chan,l_surf_end,Kaqf_type,Kaqt_type,n,index,riv_res,R,Kh_aqf,Kh_Kv,Kv_aqt
0,Kelantan,235025.1617716949,0.14902728502626728,1000,1000,0.00025,0.0002,0.03,0.8975334279607721,250,0.2,2,0.2,1.0,2,0.6,0.25,6000.0,1,0.0,min,min,0.25,11,2.5241948475583262,0.0002898275349237889,0.0008640000000000001,10.0,7.775000000000001e-06
1,Kelantan,235025.1617716949,0.14902728502626728,1000,1000,0.00025,0.0002,0.03,0.8975334279607721,250,0.2,2,0.2,1.0,2,0.6,0.25,6000.0,1,0.0,min,max,0.25,11,2.5241948475583262,0.0002898275349237889,0.0008640000000000001,10.0,0.15000000000000002
2,Kelantan,235025.1617716949,0.14902728502626728,1000,1000,0.00025,0.0002,0.03,0.8975334279607721,250,0.2,2,0.2,1.0,2,0.6,0.25,6000.0,1,0.0,min,mid_0,0.25,11,2.5241948475583262,0.0002898275349237889,0.0008640000000000001,10.0,0.0010799305533227594
3,Kelantan,235025.1617716949,0.14902728502626728,1000,1000,0.00025,0.0002,0.03,0.8975334279607721,250,0.2,2,0.2,1.0,2,0.6,0.25,6000.0,1,0.0,max,min,0.25,42,2.5241948475583262,0.0002898275349237889,8.64,10.0,7.775000000000001e-06
4,Kelantan,235025.1617716949,0.14902728502626728,1000,1000,0.00025,0.0002,0.03,0.8975334279607721,250,0.2,2,0.2,1.0,2,0.6,0.25,6000.0,1,0.0,max,max,0.25,42,2.5241948475583262,0.0002898275349237889,8.64,10.0,0.15000000000000002
5,Kelantan,235025.1617716949,0.14902728502626728,1000,1000,0.00025,0.0002,0.03,0.8975334279607721,250,0.2,2,0.2,1.0,2,0.6,0.25,6000.0,1,0.0,max,mid_0,0.25,42,2.5241948475583262,0.0002898275349237889,8.64,10.0,0.0010799305533227594
6,Kelantan,235025.1617716949,0.14902728502626728,1000,1000,0.00025,0.0002,0.03,0.8975334279607721,250,0.2,2,0.2,1.0,2,0.6,0.25,6000.0,1,0.0,mid_0,min,0.25,73,2.5241948475583262,0.0002898275349237889,0.08639999999999998,10.0,7.775000000000001e-06
7,Kelantan,235025.1617716949,0.14902728502626728,1000,1000,0.00025,0.0002,0.03,0.8975334279607721,250,0.2,2,0.2,1.0,2,0.6,0.25,6000.0,1,0.0,mid_0,max,0.25,73,2.5241948475583262,0.0002898275349237889,0.08639999999999998,10.0,0.15000000000000002
8,Kelantan,235025.1617716949,0.14902728502626728,1000,1000,0.00025,0.0002,0.03,0.8975334279607721,250,0.2,2,0.2,1.0,2,0.6,0.25,6000.0,1,0.0,mid_0,mid_0,0.25,73,2.5241948475583262,0.0002898275349237889,0.08639999999999998,10.0,0.0010799305533227594
9,Chao Praya,363809.53043492546,0.4502617901160949,1000,1000,2.9999999999999997e-05,0.000133,0.03,0.5715167727294042,600,0.5,7,0.5,1.0,2,0.6,0.7,6000.0,1,0.35714285700000004,min,min,0.25,2,51.26209742377916,9.779999999999992e-05,3.7,10.0,2.1e-07
10,Chao Praya,363809.53043492546,0.4502617901160949,1000,1000,2.9999999999999997e-05,0.000133,0.03,0.5715167727294042,600,0.5,7,0.5,1.0,2,0.6,0.7,6000.0,1,0.35714285700000004,min,max,0.25,2,51.26209742377916,9.779999999999992e-05,3.7,10.0,0.0005
11,Chao Praya,363809.53043492546,0.4502617901160949,1000,1000,2.9999999999999997e-05,0.000133,0.03,0.5715167727294042,600,0.5,7,0.5,1.0,2,0.6,0.7,6000.0,1,0.35714285700000004,min,mid_0,0.25,2,51.26209742377916,9.779999999999992e-05,3.7,10.0,1.02469507659596e-05
12,Chao Praya,363809.53043492546,0.4502617901160949,1000,1000,2.9999999999999997e-05,0.000133,0.03,0.5715167727294042,600,0.5,7,0.5,1.0,2,0.6,0.7,6000.0,1,0.35714285700000004,max,min,0.25,33,51.26209742377916,9.779999999999992e-05,120.0,10.0,2.1e-07
13,Chao Praya,363809.53043492546,0.4502617901160949,1000,1000,2.9999999999999997e-05,0.000133,0.03,0.5715167727294042,600,0.5,7,0.5,1.0,2,0.6,0.7,6000.0,1,0.35714285700000004,max,max,0.25,33,51.26209742377916,9.779999999999992e-05,120.0,10.0,0.0005
14,Chao Praya,363809.53043492546,0.4502617901160949,1000,1000,2.9999999999999997e-05,0.000133,0.03,0.5715167727294042,600,0.5,7,0.5,1.0,2,0.6,0.7,6000.0,1,0.35714285700000004,max,mid_0,0.25,33,51.26209742377916,9.779999999999992e-05,120.0,10.0,1.02469507659596e-05
15,Chao Praya,363809.53043492546,0.4502617901160949,1000,1000,2.9999999999999997e-05,0.000133,0.03,0.5715167727294042,600,0.5,7,0.5,1.0,2,0.6,0.7,6000.0,1,0.35714285700000004,mid_0,min,0.25,64,51.26209742377916,9.779999999999992e-05,21.071307505705473,10.0,2.1e-07
16,Chao Praya,363809.53043492546,0.4502617901160949,1000,1000,2.9999999999999997e-05,0.000133,0.03,0.5715167727294042,600,0.5,7,0.5,1.0,2,0.6,0.7,6000.0,1,0.35714285700000004,mid_0,max,0.25,64,51.26209742377916,9.779999999999992e-05,21.071307505705473,10.0,0.0005
17,Chao Praya,363809.53043492546,0.4502617901160949,1000,1000,2.9999999999999997e-05,0.000133,0.03,0.5715167727294042,600,0.5,7,0.5,1.0,2,0.6,0.7,6000.0,1,0.35714285700000004,mid_0,mid_0,0.25,64,51.26209742377916,9.779999999999992e-05,21.071307505705473,10.0,1.02469507659596e-05
18,Rhine-Meuse,331039.19047130947,0.3958419251954593,1000,1000,7.5e-05,0.000167,0.0164,0.8682856630884614,280,0.642857143,3,0.1,1.0,4,0.2,0.2,7500.0,2,0.26666666699999997,min,min,0.3,22,424.26406871192825,0.0004999999999999999,0.1,10.0,0.001
